Persona,Mode,Approach,Mean Hit Rate,Mean WCR,n
Allergy Risk,Naive,Bi-Enc+Entailment,0.1648,0.1606,12
Allergy Risk,Naive,Hungarian,0.041,0.034,12
Allergy Risk,Naive,LLM Judge,0.251,0.2325,12
Allergy Risk,Supervised,Bi-Enc+Entailment,0.1439,0.1482,12
Allergy Risk,Supervised,Hungarian,0.025,0.0328,12
Allergy Risk,Supervised,LLM Judge,0.2926,0.2755,12
Anesthesia Risk,Naive,Bi-Enc+Entailment,0.1857,0.1626,12
Anesthesia Risk,Naive,Hungarian,0.0454,0.039,12
Anesthesia Risk,Naive,LLM Judge,0.2397,0.22,12
Anesthesia Risk,Supervised,Bi-Enc+Entailment,0.1984,0.194,12
Anesthesia Risk,Supervised,Hungarian,0.0767,0.0631,12
Anesthesia Risk,Supervised,LLM Judge,0.3012,0.2813,12
Anticoagulation Risk,Naive,Bi-Enc+Entailment,0.0905,0.0787,12
Anticoagulation Risk,Naive,Hungarian,0.0596,0.0483,12
Anticoagulation Risk,Naive,LLM Judge,0.2192,0.1968,12
Anticoagulation Risk,Supervised,Bi-Enc+Entailment,0.133,0.128,12
Anticoagulation Risk,Supervised,Hungarian,0.0424,0.0368,12
Anticoagulation Risk,Supervised,LLM Judge,0.283,0.2664,12
Baseline,Naive,Bi-Enc+Entailment,0.1792,0.1615,12
Baseline,Naive,Hungarian,0.0614,0.058,12
Baseline,Naive,LLM Judge,0.2658,0.2457,12
Baseline,Supervised,Bi-Enc+Entailment,0.1757,0.1807,12
Baseline,Supervised,Hungarian,0.0755,0.068,12
Baseline,Supervised,LLM Judge,0.3022,0.2831,12
Hypertension Risk,Naive,Bi-Enc+Entailment,0.113,0.1085,12
Hypertension Risk,Naive,Hungarian,0.0636,0.0676,12
Hypertension Risk,Naive,LLM Judge,0.262,0.2513,12
Hypertension Risk,Supervised,Bi-Enc+Entailment,0.1303,0.1243,12
Hypertension Risk,Supervised,Hungarian,0.0536,0.0418,12
Hypertension Risk,Supervised,LLM Judge,0.3316,0.325,12
Induction Risk,Naive,Bi-Enc+Entailment,0.1822,0.1675,12
Induction Risk,Naive,Hungarian,0.071,0.0606,12
Induction Risk,Naive,LLM Judge,0.3061,0.2933,12
Induction Risk,Supervised,Bi-Enc+Entailment,0.1691,0.1627,12
Induction Risk,Supervised,Hungarian,0.0658,0.0553,12
Induction Risk,Supervised,LLM Judge,0.3167,0.3177,12
Language Barrier,Naive,Bi-Enc+Entailment,0.1062,0.1015,12
Language Barrier,Naive,Hungarian,0.0456,0.0451,12
Language Barrier,Naive,LLM Judge,0.2151,0.2015,12
Language Barrier,Supervised,Bi-Enc+Entailment,0.1963,0.194,12
Language Barrier,Supervised,Hungarian,0.06,0.0515,12
Language Barrier,Supervised,LLM Judge,0.2755,0.252,12
Trauma History,Naive,Bi-Enc+Entailment,0.1234,0.1156,12
Trauma History,Naive,Hungarian,0.0544,0.0524,12
Trauma History,Naive,LLM Judge,0.2051,0.1839,12
Trauma History,Supervised,Bi-Enc+Entailment,0.1406,0.1249,12
Trauma History,Supervised,Hungarian,0.0696,0.0632,12
Trauma History,Supervised,LLM Judge,0.2994,0.2973,12
Version Contraindication,Naive,Bi-Enc+Entailment,0.1569,0.1482,12
Version Contraindication,Naive,Hungarian,0.0578,0.0547,12
Version Contraindication,Naive,LLM Judge,0.2366,0.2261,12
Version Contraindication,Supervised,Bi-Enc+Entailment,0.1146,0.1071,12
Version Contraindication,Supervised,Hungarian,0.0507,0.0517,12
Version Contraindication,Supervised,LLM Judge,0.3004,0.2876,12
